fundo_cnpj,fundo_nome,data,classe_serie,qt_cota,vl_cota
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,Subclasse Senior,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,Subclasse Subordinada Subordinada 1 |,18409.67922286,2187.48460646
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,Subclasse Senior,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,Subclasse Subordinada Subordinada 1 |,18409.67922286,2200.9751897
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,Subclasse Senior Subclasse 1,18409.67922286,2218.46763626
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,Subclasse Subordinada  |,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,Subclasse Senior Subclasse 1,18409.67922286,2237.37184615
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,Subclasse Subordinada  |,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,Subclasse Senior,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,Subclasse Subordinada Subordinada 1 |,202860.51235539,9201.16890634
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 1,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 10,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 11,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 12,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 2,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 3,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 4,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 5,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 6,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 7,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 8,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Senior Série 9,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Subordinada Subordinada 1 |,202860.51235539,9202.41561521
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,Subclasse Senior Subclasse 1,202860.51235539,9206.68053725
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,Subclasse Subordinada  |,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,Subclasse Senior,202860.51235539,9211.29550844
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,Subclasse Subordinada  |,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,Subclasse Senior,0.0,0.0
