cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
51806219000113,3P HOLDING LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
58807049000130,ABBIAMO FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
54958358000150,ACQUA&CO CAPITAL LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
18167777000100,ACURA GESTORA DE RECURSOS LTDA.,SP,ATIVA,362000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
22415738000152,ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
27590992000100,ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02377759000113,ASTER PETROLEO LTDA.,SP,ATIVA,33178380.0,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",minha_receita
47917164000141,AXOR ASSET LTDA,SP,ATIVA,100000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
49225426000132,B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32287737000123,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
60746948000112,BANCO BRADESCO S.A.,,,,,cvm_papel
58497702000102,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,323188380.0,"Bancos múltiplos, com carteira comercial",minha_receita
09526594000143,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,121203390.0,"Bancos múltiplos, sem carteira comercial",minha_receita
33884941000194,BANCO MASTER MULTIPLO S.A.,SP,ATIVA,1167479400.0,"Bancos múltiplos, com carteira comercial",minha_receita
33923798000100,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,RJ,ATIVA,3763012400.0,Bancos comerciais,minha_receita
61820817000109,BANCO PAULISTA S.A.,SP,ATIVA,284300000.0,"Bancos múltiplos, com carteira comercial",minha_receita
61024352000171,BANCO PLENO SA,SP,ATIVA,1682173200.0,Bancos comerciais,minha_receita
03919474000120,BANESTES  FMP - FGTS  PETROBRAS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
04894428000186,BANESTES FMP-FGTS VALE DO RIO DOCE,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SP,ATIVA,4595171.0,Distribuidoras de títulos e valores mobiliários,minha_receita
38461854000148,BANVOX HOLDING FINANCEIRA S.A.,SP,ATIVA,6970000.0,Holdings de instituições financeiras,minha_receita
51600603000165,BARTHMAN HOLDING LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
40698790000145,BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
39248102000166,BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
64525602000145,BE HOLDING LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
40319398000148,BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
44668849000103,BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
09463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",SP,ATIVA,550000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
52114474000168,CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
46312903000109,CARMEL CAPITAL PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições financeiras,minha_receita_qsa
24515907000151,CARMEL GESTORA DE ATIVOS LTDA,SP,ATIVA,200000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
33194855000150,CATALISE CAPITAL PARTNERS S.A.,PR,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
18223260000191,CATALISE INVESTIMENTOS LTDA,PR,ATIVA,100000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
34829992000186,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,SP,ATIVA,6500000.0,Distribuidoras de títulos e valores mobiliários,minha_receita
60772259000182,CBSF PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,SP,ATIVA,51000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
52270350000171,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,SP,ATIVA,,Holdings de instituições financeiras,minha_receita_qsa
50969583000131,CONCESSOES E PARTICIPACOES BR LTDA,SP,ATIVA,,Compra e venda de imóveis próprios,minha_receita_qsa
04817613000177,CONTROL PARTICIPACOES LTDA.,MS,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
27531264000128,DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
57445179000108,DV HOLDING FINANCEIRA SA,SP,ATIVA,87310000.0,Holdings de instituições financeiras,minha_receita
28880602000108,E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
01460572000116,FDO INV IMOB PIT STOCK,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02739110000103,FDO INV IMOB TIME CENTER,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
46745079000180,FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
46268930000121,FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
14788476000143,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ESMERALDA,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
