id,empresa_cnpj,socio_pessoa_id,socio_empresa_cnpj,qualificacao,data_entrada,fonte
198,02166941000125,113,,Sócio-Administrador,1997-08-01,minha_receita
199,02166941000125,54,,Sócio-Administrador,1997-08-01,minha_receita
60,03403181000195,41,,Sócio-Administrador,1999-09-17,minha_receita
208,06177610000141,121,,Diretor,2004-01-29,minha_receita
209,06177610000141,122,,Diretor,2004-01-29,minha_receita
16,07875796000175,4,,Sócio-Administrador,2006-02-15,minha_receita
244,07875796000175,4,,Sócio,2006-02-15,minha_receita
61,06238550000120,42,,Sócio,2007-03-16,minha_receita
184,08736176000118,82,,Diretor,2007-03-30,minha_receita
185,08736176000118,107,,Diretor,2007-03-30,minha_receita
49,09463122000199,32,,Sócio-Administrador,2008-03-25,minha_receita
127,10791605000100,0,08736176000118,Sócio,2009-04-29,minha_receita
28,03566273000196,0,33923798000100,Sócio,2009-10-14,minha_receita
133,11519788000163,84,,Sócio-Administrador,2010-02-04,minha_receita
134,11519788000163,85,,Sócio-Administrador,2010-02-04,minha_receita
38,09121454000195,25,,Diretor,2010-05-07,minha_receita
136,02377759000113,0,04817613000177,Sócio,2010-07-01,minha_receita
190,04817613000177,0,09006837000112,Sócio,2010-08-06,minha_receita
125,10791605000100,82,,Administrador,2012-05-11,minha_receita
126,10791605000100,4,,Administrador,2012-05-11,minha_receita
205,16552209000106,106,,Presidente,2012-07-06,minha_receita
206,16552209000106,119,,Diretor,2012-07-06,minha_receita
52,16925467000182,35,,Sócio-Administrador,2012-09-28,minha_receita
101,61820817000109,74,,Diretor,2013-02-07,minha_receita
33,18223260000191,20,,Administrador,2013-05-20,minha_receita
29,03566273000196,18,,Administrador,2013-10-31,minha_receita
30,03566273000196,15,,Sócio-Administrador,2013-10-31,minha_receita
63,19207159000100,44,,Sócio-Administrador,2013-11-05,minha_receita
132,11519788000163,4,,Sócio,2015-02-03,minha_receita
34,09121454000195,21,,Diretor,2015-05-14,minha_receita
39,09121454000195,26,,Diretor,2015-05-14,minha_receita
128,22921619000171,0,50969583000131,Sócio,2015-07-24,minha_receita
129,22921619000171,4,,Administrador,2015-07-24,minha_receita
130,22921619000171,83,,Administrador,2015-07-24,minha_receita
131,22921619000171,0,12909472000140,Sócio,2015-07-24,minha_receita
10,33884941000194,7,,Conselheiro de Administração,2015-10-21,minha_receita
31,18223260000191,19,,Administrador,2015-10-23,minha_receita
189,12909472000140,110,,Diretor,2015-12-02,minha_receita
35,09121454000195,22,,Diretor,2016-02-02,minha_receita
36,09121454000195,23,,Diretor,2016-02-02,minha_receita
37,09121454000195,24,,Diretor,2016-02-02,minha_receita
74,24515907000151,53,,Administrador,2016-04-04,minha_receita
2,33923798000100,2,,Diretor,2017-07-07,minha_receita
23,33886862000112,2,,Diretor,2017-07-07,minha_receita
79,28264093000180,56,,Sócio-Administrador,2017-07-26,minha_receita
80,28264093000180,57,,Sócio-Administrador,2017-07-26,minha_receita
148,28810952000190,40,,Administrador,2017-10-06,minha_receita
4,33923798000100,4,,Presidente,2017-12-01,minha_receita
25,33886862000112,6,,Diretor,2017-12-27,minha_receita
6,33923798000100,6,,Diretor,2018-01-04,minha_receita
124,02671743000119,70,,Administrador,2019-01-15,minha_receita
82,32764855000185,59,,Diretor,2019-02-14,minha_receita
83,32764855000185,60,,Diretor,2019-02-14,minha_receita
68,21046086000163,49,,Sócio-Administrador,2019-02-18,minha_receita
187,50969583000131,0,06177610000141,Sócio,2019-03-06,minha_receita
207,06177610000141,120,,Diretor,2019-03-06,minha_receita
141,33194855000150,19,,Diretor,2019-03-29,minha_receita
142,33194855000150,20,,Diretor,2019-03-29,minha_receita
32,18223260000191,0,33194855000150,Sócio,2019-06-10,minha_receita
216,34829992000186,128,,Presidente,2019-09-11,minha_receita
53,16925467000182,36,,Administrador,2019-10-15,minha_receita
182,37665902000157,81,,Diretor,2019-12-31,minha_receita
71,21046086000163,50,,Sócio-Administrador,2020-01-03,minha_receita
55,36040900000100,37,,Administrador,2020-01-17,minha_receita
210,09006837000112,87,,Diretor,2020-06-18,minha_receita
191,04817613000177,87,,Administrador,2020-06-29,minha_receita
145,35302718000117,29,,Presidente,2020-08-10,minha_receita
118,38461854000148,69,,Diretor,2020-09-15,minha_receita
137,02377759000113,87,,Administrador,2020-09-24,minha_receita
117,38461854000148,81,,Diretor,2020-09-25,minha_receita
97,67030395000146,0,37665902000157,Sócio,2020-10-22,minha_receita
143,39701783000176,90,,Sócio-Administrador,2020-11-06,minha_receita
144,39701783000176,91,,Sócio-Administrador,2021-01-04,minha_receita
27,33886862000112,17,,Diretor,2021-01-10,minha_receita
41,21180163000173,0,32203088000135,Sócio,2021-02-23,minha_receita
43,21180163000173,0,39701783000176,Sócio,2021-02-23,minha_receita
44,21180163000173,9,,Administrador,2021-02-23,minha_receita
67,19207159000100,48,,Sócio-Administrador,2021-02-26,minha_receita
95,67030395000146,69,,Sócio,2021-06-02,minha_receita
56,42373402000181,38,,Administrador,2021-06-17,minha_receita
57,42373402000181,39,,Sócio-Administrador,2021-06-17,minha_receita
58,42373402000181,40,,Administrador,2021-06-17,minha_receita
59,42373402000181,0,28810952000190,Sócio,2021-06-17,minha_receita
114,31446245000170,78,,Diretor,2021-08-18,minha_receita
18,23862762000100,10,,Diretor,2021-09-08,minha_receita
19,23862762000100,11,,Diretor,2021-09-08,minha_receita
5,33923798000100,5,,Diretor,2021-11-23,minha_receita
62,06238550000120,43,,Sócio-Administrador,2022-01-24,minha_receita
160,46312903000109,53,,Sócio-Administrador,2022-05-09,minha_receita
161,46312903000109,54,,Administrador,2022-05-09,minha_receita
213,34829992000186,125,,Diretor,2022-05-24,minha_receita
164,46740698000182,53,,Sócio-Administrador,2022-06-10,minha_receita
165,46740698000182,54,,Sócio-Administrador,2022-06-10,minha_receita
167,46740698000182,0,46312903000109,Sócio,2022-06-10,minha_receita
24,33886862000112,15,,Diretor,2022-07-08,minha_receita
75,24515907000151,54,,Administrador,2022-08-17,minha_receita
76,24515907000151,0,46312903000109,Sócio,2022-08-17,minha_receita
78,24515907000151,0,46740698000182,Sócio,2022-08-17,minha_receita
92,67030395000146,68,,Administrador,2022-08-26,minha_receita
85,47917164000141,62,,Sócio-Administrador,2022-09-12,minha_receita
11,09526594000143,2,,Diretor,2022-10-19,minha_receita
13,09526594000143,6,,Diretor,2022-10-19,minha_receita
166,46740698000182,95,,Sócio,2022-11-09,minha_receita
176,46740698000182,103,,Sócio,2022-11-09,minha_receita
178,46740698000182,105,,Sócio,2022-11-09,minha_receita
183,37665902000157,69,,Diretor,2022-12-05,minha_receita
81,32764855000185,58,,Diretor,2023-02-03,minha_receita
1,33923798000100,1,,Diretor,2023-02-13,minha_receita
3,33923798000100,3,,Diretor,2023-02-13,minha_receita
26,33886862000112,16,,Diretor,2023-02-16,minha_receita
51,09463122000199,34,,Sócio-Administrador,2023-03-28,minha_receita
202,51600603000165,116,,Sócio-Administrador,2023-07-28,minha_receita
203,51600603000165,117,,Sócio-Administrador,2023-07-28,minha_receita
204,51600603000165,118,,Sócio-Administrador,2023-07-28,minha_receita
179,51806219000113,0,51600603000165,Sócio,2023-08-14,minha_receita
180,51806219000113,106,,Administrador,2023-08-14,minha_receita
181,51806219000113,0,16552209000106,Sócio,2023-08-14,minha_receita
157,52167766000169,49,,Administrador,2023-09-13,minha_receita
158,52167766000169,50,,Administrador,2023-09-13,minha_receita
149,52195129000104,49,,Administrador,2023-09-15,minha_receita
150,52195129000104,0,52167766000169,Sócio,2023-09-15,minha_receita
151,52195129000104,92,,Sócio,2023-09-15,minha_receita
152,52195129000104,93,,Sócio,2023-09-15,minha_receita
153,52195129000104,50,,Administrador,2023-09-15,minha_receita
154,52195129000104,51,,Sócio,2023-09-15,minha_receita
20,51213651000109,12,,Sócio-Administrador,2023-09-19,minha_receita
21,51213651000109,13,,Sócio-Administrador,2023-09-19,minha_receita
22,51213651000109,14,,Sócio,2023-09-19,minha_receita
188,12909472000140,109,,Presidente,2023-09-21,minha_receita
7,33884941000194,1,,Diretor,2023-10-27,minha_receita
8,33884941000194,2,,Diretor,2023-10-27,minha_receita
9,33884941000194,6,,Presidente,2023-10-27,minha_receita
211,34829992000186,123,,Diretor,2023-10-31,minha_receita
219,23863529000134,123,,Administrador,2023-11-07,minha_receita
162,46312903000109,55,,Sócio,2023-11-08,minha_receita
69,21046086000163,0,52195129000104,Sócio,2023-11-09,minha_receita
70,21046086000163,0,52167766000169,Sócio,2023-11-09,minha_receita
72,21046086000163,51,,Administrador,2023-11-09,minha_receita
77,24515907000151,55,,Administrador,2023-11-10,minha_receita
140,33194855000150,89,,Diretor,2023-11-27,minha_receita
116,34263138000103,80,,Diretor,2023-12-14,minha_receita
192,53294384000169,88,,Sócio-Administrador,2023-12-22,minha_receita
111,50365044000193,75,,Diretor,2024-01-18,minha_receita
112,50365044000193,76,,Diretor,2024-01-18,minha_receita
113,50365044000193,77,,Diretor,2024-01-18,minha_receita
138,21228180000133,88,,Administrador,2024-01-18,minha_receita
139,21228180000133,0,53294384000169,Sócio,2024-01-18,minha_receita
155,52195129000104,94,,Sócio,2024-02-26,minha_receita
73,21046086000163,52,,Administrador,2024-04-02,minha_receita
66,19207159000100,47,,Sócio,2024-04-12,minha_receita
193,54958358000150,40,,Sócio-Administrador,2024-05-01,minha_receita
119,02671743000119,0,38461854000148,Sócio,2024-06-20,minha_receita
120,02671743000119,68,,Administrador,2024-06-20,minha_receita
123,02671743000119,69,,Sócio,2024-06-20,minha_receita
105,55757077000100,2,,Diretor,2024-07-02,minha_receita
106,55757077000100,4,,Diretor,2024-07-02,minha_receita
107,55757077000100,6,,Diretor,2024-07-02,minha_receita
168,46740698000182,96,,Sócio,2024-07-16,minha_receita
169,46740698000182,55,,Sócio-Administrador,2024-07-16,minha_receita
170,46740698000182,97,,Sócio,2024-07-16,minha_receita
174,46740698000182,101,,Sócio,2024-07-16,minha_receita
115,31446245000170,79,,Diretor,2024-07-23,minha_receita
