id,fundo_cnpj,papel,prestador_cnpj,prestador_nome
112,01460572000116,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
37,02727085000130,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
153,02727085000130,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
39,02727085000130,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
38,02727085000130,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
113,02739110000103,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
40,03919474000120,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
154,03919474000120,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
41,04894428000186,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
155,04894428000186,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
156,04894438000111,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
139,13259717000102,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
141,13259717000102,custodiante,60746948000112,BANCO BRADESCO S.A.
140,13259717000102,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
142,13707891000162,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
144,13707891000162,custodiante,60746948000112,BANCO BRADESCO S.A.
143,13707891000162,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
128,14576983000113,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
129,14576983000113,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
133,14580349000154,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
135,14580349000154,custodiante,60746948000112,BANCO BRADESCO S.A.
134,14580349000154,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
130,14580627000173,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
132,14580627000173,custodiante,60746948000112,BANCO BRADESCO S.A.
131,14580627000173,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
136,14587971000194,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
138,14587971000194,custodiante,60746948000112,BANCO BRADESCO S.A.
137,14587971000194,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
114,14788476000143,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
124,15381923000108,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
125,15381923000108,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
126,15382091000144,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
127,15382091000144,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
118,15383998000128,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
119,15383998000128,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
122,15388352000133,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
123,15388352000133,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
120,15388976000150,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
121,15388976000150,gestor,03566273000196,MÁXIMA ASSET MANAGEMENT LTDA
115,16685929000131,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
117,16685929000131,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
116,16685929000131,gestor,47917164000141,BLUEMAC ASSET MANAGEMENT LTDA
1,22415738000152,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
4,22415738000152,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
3,22415738000152,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
2,22415738000152,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
91,26686967000162,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
93,26686967000162,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
92,26686967000162,gestor,32764855000185,LIBERTAS ASSET S/A
85,27531264000128,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
88,27531264000128,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
87,27531264000128,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
90,27531264000128,custodiante,61820817000109,BANCO PAULISTA S.A.
86,27531264000128,gestor,09463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA."
89,27531264000128,gestor,09463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA."
5,27590992000100,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
8,27590992000100,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
7,27590992000100,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
6,27590992000100,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
82,28880602000108,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
84,28880602000108,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
83,28880602000108,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
79,30142469000126,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
81,30142469000126,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
80,30142469000126,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
42,31368739000184,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
76,31368739000184,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
45,31368739000184,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
44,31368739000184,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
78,31368739000184,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
43,31368739000184,gestor,36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.
77,31368739000184,gestor,36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.
17,31963292000191,admin,67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
20,31963292000191,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
19,31963292000191,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
18,31963292000191,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
151,32287737000123,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
152,32287737000123,gestor,16925467000182,GLOBAL GESTÃO E INVESTIMENTOS LTDA
148,32287774000131,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
150,32287774000131,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
149,32287774000131,gestor,16925467000182,GLOBAL GESTÃO E INVESTIMENTOS LTDA
73,34849800000101,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
75,34849800000101,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
74,34849800000101,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
68,35506825000167,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
70,35506825000167,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
69,35506825000167,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
71,35940506000165,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
72,35940506000165,gestor,28264093000180,SMART AGRO INVESTIMENTOS LTDA.
13,37178959000121,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
16,37178959000121,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
15,37178959000121,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
14,37178959000121,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
9,37569593000111,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
12,37569593000111,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
11,37569593000111,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
10,37569593000111,gestor,24515907000151,CARMEL GESTORA DE ATIVOS LTDA
65,39248102000166,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
67,39248102000166,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
66,39248102000166,gestor,21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA
62,40319398000148,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
64,40319398000148,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
63,40319398000148,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
21,40698790000145,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
24,40698790000145,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
23,40698790000145,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
22,40698790000145,gestor,42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA
50,41572679000170,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
52,41572679000170,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
51,41572679000170,gestor,19207159000100,PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA
25,41576095000173,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
28,41576095000173,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
27,41576095000173,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
26,41576095000173,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
29,41709776000162,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
32,41709776000162,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
31,41709776000162,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
30,41709776000162,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
59,42639133000152,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
61,42639133000152,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
60,42639133000152,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
56,44668849000103,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
58,44668849000103,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
57,44668849000103,gestor,06238550000120,MONETIZA INVESTIMENTOS LTDA.
33,45563675000187,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
36,45563675000187,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
35,45563675000187,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
34,45563675000187,gestor,50543106000100,MENESTYS GESTORA DE RECURSOS LTDA
53,46268930000121,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
