de,de_label,de_tipo,para,para_label,para_tipo,tipo_relacao,detalhes,fonte
ANDRE_MENDONCA,Min. André Mendonça,Pessoa Física,POLICIA_FEDERAL,Polícia Federal,Órgão Regulador,AUTORIZOU,Decisão STF 27/05/2026 — 8ª fase Compliance Zero,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,FIDC_GOLD_STYLE,Fundo Gold Style FIDC,Fundo de Investimento,APORTOU,"R$ 759,5 mi para o Gold Style",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,HD_PETROLEO,HD Petróleo (postos PI),Empresa,CONTROLA,Rede de postos em Teresina/PI,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,COPAPE,Copape Produtos de Petróleo,Empresa,COMERCIALIZA,Combustíveis fabricados pela Copape,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
AUGUSTO_LIMA,Augusto Lima,Pessoa Física,NGV_SPE,NGV SPE,Empresa,LIGADO_A,Empresário ligado à NGV SPE.,ICL/Folha 2026-05-28
AUGUSTO_LIMA,Augusto Lima,Pessoa Física,BANCO_MASTER,Banco Master,Instituição Financeira,EX_SOCIO,Ex-sócio de Daniel Vorcaro no Banco Master.,ICL/Folha 2026-05-28
AUGUSTO_LIMA,Augusto Lima,Pessoa Física,BANCO_VOITER,Banco Voiter S.A. (ex-Indusval),Instituição Financeira,ADQUIRIU,07/2025 — após sair Master em 05/2024,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANCO_CENTRAL,Banco Central (BC),Órgão Regulador,BANCO_MASTER,Banco Master,Instituição Financeira,INVESTIGA,Investiga fraudes contábeis e simulações de crédito do banco.,ICL/Folha 2026-05-28
BANCO_CENTRAL,Banco Central (BC),Órgão Regulador,FUNDO_ANNA,Fundo Anna,Fundo de Investimento,IDENTIFICOU_FRAUDE,Identificado como um dos 6 fundos fraudulentos no início das investigações.,ICL/Folha 2026-05-28
BANCO_MASTER,Banco Master,Instituição Financeira,FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,CESSAO_CREDITO,"Vendeu R$ 1,1 bilhão diretamente em direitos creditórios podres.",ICL/Folha 2026-05-28
BANCO_MASTER,Banco Master,Instituição Financeira,LORMONT_PART,Lormont Participações,Empresa,CESSAO_CREDITO,Vendeu R$ 102 milhões em créditos vinculados à Lormont para o SDG II.,ICL/Folha 2026-05-28
BANCO_MASTER,Banco Master,Instituição Financeira,MKS_SOLUCOES,MKS Soluções Integradas,Empresa,EMPRESTIMO_SIMULADO,MKS realizou empréstimo simulado com o Master para alimentar o ciclo.,ICL/Folha 2026-05-28
BANCO_MASTER,Banco Master,Instituição Financeira,MIDIAS_PROMOTORA,Mídias Promotora Ltda,Empresa,PAGAMENTO,R$ 126 mi transferidos entre 2022 e 2025,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANCO_MASTER,Banco Master,Instituição Financeira,TIRRENO,Tirreno (empresa-fachada),Empresa,VENDEU_CARTEIRAS,Para Tirreno; depois vendidas pra BRB,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANCO_MAXIMA,Banco Máxima (precursor histórico),Instituição Financeira,BANCO_MASTER,Banco Master,Instituição Financeira,TRANSFORMOU_EM,Banco Máxima virou Banco Master S.A.,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANCO_PLENO,Banco Pleno S.A.,Instituição Financeira,POLICIA_FEDERAL,Polícia Federal,Órgão Regulador,LIQUIDADO,18/02/2026 pelo BACEN,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANCO_VOITER,Banco Voiter S.A. (ex-Indusval),Instituição Financeira,BANCO_PLENO,Banco Pleno S.A.,Instituição Financeira,RENOMEACAO,Mesmo CNPJ 61.024.352/0001-71,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANVOX,Banvox,Empresa,DV_HOLDING,DV Holding,Empresa,TRANSFERENCIA_DIVIDA,Debêntures foram transferidas para a DV Holding na saída de Quadrado.,ICL/Folha 2026-05-28
BANVOX,Banvox,Empresa,DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,COFUNDADO_POR,Vorcaro e Quadrado criaram em 2020,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANVOX,Banvox,Empresa,MAURICIO_QUADRADO,Maurício Quadrado,Pessoa Física,COFUNDADO_POR,Idem,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BETO_LOCO,Roberto Augusto Leme da Silva (Beto Loco),Pessoa Física,ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,LIGADO_A,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BK_BANK,BK Bank (Instituição de Pagamento),Fintech/IP,FIDC_GOLD_STYLE,Fundo Gold Style FIDC,Fundo de Investimento,APORTOU,R$ 158 mi,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
CBSF_DTVM,CBSF DTVM (ex-Reag Trust),DTVM,FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,ADMINISTRA,CBSF DTVM (ex-Reag Trust) é a administradora do SDG II desde 15/09/2022,CVMWeb consulta manual 03/06/2026
CBSF_DTVM,CBSF DTVM (ex-Reag Trust),DTVM,CBSF_TRUST_ADM,CBSF Trust Administradora de Recursos Ltda,Gestora,GRUPO,"Ambas com nome CBSF, mesma estrutura societária Reag",CVMWeb consulta manual 03/06/2026
CBSF_TRUST_ADM,CBSF Trust Administradora de Recursos Ltda,Gestora,FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,GERE,Gestor da carteira do SDG II,CVMWeb consulta manual 03/06/2026
CLAUDIO_CASTRO,Cláudio Castro,Pessoa Física,DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,ENCONTROS_PRIVADOS,Encontros frequentes priv. e exterior; Vorcaro pagava as despesas (PF),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,DV_HOLDING,DV Holding,Empresa,CONTROLADOR,Daniel Vorcaro é o proprietário da DV Holding.,ICL/Folha 2026-05-28
DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,LIGADO_A,Super Empreendimentos funcionava como braço financeiro de Vorcaro.,ICL/Folha 2026-05-28
DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,BANCO_VOITER,Banco Voiter S.A. (ex-Indusval),Instituição Financeira,PARTICIPOU,Indusval/Voiter integrado ao conglomerado Master início 2024,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,TIRRENO,Tirreno (empresa-fachada),Empresa,CONTROLA_FACHADA,Empresa de fachada criada por Vorcaro (PF),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
