fundo,cnpj_fundo,papel,prestador,cnpj_prestador
ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,22415738000152,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,22415738000152,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,22415738000152,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,22415738000152,gestor,ACURA GESTORA DE RECURSOS LTDA,18167777000100
ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,27590992000100,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,27590992000100,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,27590992000100,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,27590992000100,gestor,ACURA GESTORA DE RECURSOS LTDA,18167777000100
B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49225426000132,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49225426000132,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49225426000132,gestor,TERCON INVESTIMENTOS LTDA,09121454000195
B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32287737000123,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32287737000123,gestor,GLOBAL GESTÃO E INVESTIMENTOS LTDA,16925467000182
BANESTES  FMP - FGTS  PETROBRAS,03919474000120,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BANESTES  FMP - FGTS  PETROBRAS,03919474000120,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BANESTES FMP-FGTS VALE DO RIO DOCE,04894428000186,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
