nome,n_empresas,cargos,empresas,primeira_entrada,ultima_entrada,faixa_etaria
DANIEL BUENO VORCARO,9,"Presidente,Sócio-Administrador,Diretor,Administrador,Sócio","BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,VIKING PARTICIPACOES LTDA,DV HOLDING FINANCEIRA SA,MASTER PARTICIPACOES S.A.,MASTER SERVICOS S.A.,GESTACAR GESTAO DE NEGOCIOS LTDA,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,PIRES FOMENTO MERCANTIL LTDA",2006-02-15,2025-08-12,Entre 41 a 50 anos
ANGELO ANTONIO RIBEIRO DA SILVA,7,Diretor,"BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL,DV HOLDING FINANCEIRA SA,MASTER PARTICIPACOES S.A.,MASTER SERVICOS S.A.",2017-07-07,2025-05-20,Entre 51 a 60 anos
LUIZ ANTONIO BULL,7,"Diretor,Presidente","BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL,DV HOLDING FINANCEIRA SA,MASTER PARTICIPACOES S.A.,MASTER SERVICOS S.A.",2017-12-27,2025-05-20,Entre 61 a 70 anos
MAURICIO ANTONIO QUADRADO,5,"Sócio,Diretor,Presidente","TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BANVOX HOLDING FINANCEIRA S.A.,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TRUSTEE HOLDING FINANCEIRA S/A,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL",2020-09-15,2024-11-01,Entre 61 a 70 anos
ALEXANDRE JORGE CHAIA,4,"Administrador,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA",1997-08-01,2022-08-17,Entre 51 a 60 anos
GUSTAVO AUGUSTO VASCONCELOS BIAVA,4,"Sócio-Administrador,Administrador","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA,ID PARTNERS LTDA,TERIS PARTICIPACOES LTDA",2019-02-18,2025-12-16,Entre 41 a 50 anos
JOSE ROBERTO GIANCOLI FILHO,4,"Sócio-Administrador,Administrador","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA,ID PARTNERS LTDA,BE HOLDING LTDA",2020-01-03,2026-01-15,Entre 41 a 50 anos
ADEMIR SILVA OLIVEIRA,3,"Administrador,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA",2016-04-04,2022-06-10,Entre 51 a 60 anos
FLAVIO DANIEL AGUETONI,3,Administrador,"MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2025-10-24,2025-12-17,Entre 41 a 50 anos
GUARACI SILLOS MOREIRA,3,"Administrador,Sócio,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA",2023-11-08,2024-07-16,Entre 41 a 50 anos
