data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa
1997-08-01,ADRIANA DIRENE CHAIA,PF,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP
1997-08-01,ALEXANDRE JORGE CHAIA,PF,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP
1999-09-17,DAVID JESUS GIL FERNANDEZ,PF,Sócio-Administrador,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,03403181000195,SP
2004-01-29,JOSE ROMEU FERRAZ NETO,PF,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,06177610000141,SP
2004-01-29,MARCIO BOTANA MORAES,PF,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,06177610000141,SP
2006-02-15,DANIEL BUENO VORCARO,PF,Sócio-Administrador,VIKING PARTICIPACOES LTDA,07875796000175,MG
2006-02-15,DANIEL BUENO VORCARO,PF,Sócio,VIKING PARTICIPACOES LTDA,07875796000175,MG
2007-03-16,FABRICIO VERMELHO MARTINS,PF,Sócio,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR
2007-03-30,CLAUDILENE FATIMA DE SOUZA SILVA,PF,Diretor,GESTACAR HOLDING S.A,08736176000118,MG
2007-03-30,WILLIAM WAGNER DA SILVA,PF,Diretor,GESTACAR HOLDING S.A,08736176000118,MG
2008-03-25,JAIR LEMES GONCALVES NETO,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP
2009-04-29,GESTACAR HOLDING S.A,PJ,Sócio,GESTACAR GESTAO DE NEGOCIOS LTDA,10791605000100,MG
2009-10-14,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,PJ,Sócio,MASTER PATRIMONIAL LTDA,03566273000196,RJ
2010-02-04,JOAO EDUARDO PIRES PINHEIRO DE LIMA,PF,Sócio-Administrador,PIRES FOMENTO MERCANTIL LTDA,11519788000163,MG
2010-02-04,LUIS FELIPE PIRES PINHEIRO DE LIMA,PF,Sócio-Administrador,PIRES FOMENTO MERCANTIL LTDA,11519788000163,MG
2010-05-07,LUIZ FERNANDO CONTE VASCONCELLOS,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2010-07-01,CONTROL PARTICIPACOES LTDA.,PJ,Sócio,ASTER PETROLEO LTDA.,02377759000113,SP
2010-08-06,GASP PARTICIPACOES E INVESTIMENTOS S.A.,PJ,Sócio,CONTROL PARTICIPACOES LTDA.,04817613000177,MS
2012-05-11,CLAUDILENE FATIMA DE SOUZA SILVA,PF,Administrador,GESTACAR GESTAO DE NEGOCIOS LTDA,10791605000100,MG
2012-05-11,DANIEL BUENO VORCARO,PF,Administrador,GESTACAR GESTAO DE NEGOCIOS LTDA,10791605000100,MG
2012-07-06,WEAKER BATISTA NETO,PF,Presidente,YCNEX PARTICIPACOES S/A,16552209000106,SP
2012-07-06,WEAKER LENIO COSTA BATISTA,PF,Diretor,YCNEX PARTICIPACOES S/A,16552209000106,SP
2012-09-28,EDUARDO RIBEIRO DE MOURA,PF,Sócio-Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,16925467000182,MG
2013-02-07,RUI LUIS FERNANDES,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP
2013-05-20,MARCELO AKIRA AOKI,PF,Administrador,CATALISE INVESTIMENTOS LTDA,18223260000191,PR
