competencia,cnpj,fundo,admin,pl,cotistas,ativo,carteira,dir_cred,dir_cred_inadimplente,provisao,valores_mobiliarios,debentures,cotas_outros_fidc,outros_a_receber
2025-01,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2020879087.39,2,6135011366.76,6134420255.49,4752072182.52,40112636.28,0.0,1337087712.83,933691386.47,8135672.37,0.0
2025-01,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,15236596282.1,2,16284286749.28,15073418272.06,0.0,0.0,0.0,0.0,0.0,15073418272.06,1210531922.51
2025-01,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,36548427.18,3,36676132.43,36674943.82,0.0,0.0,0.0,32423553.62,32423553.62,4251390.2,0.0
2025-01,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1950003740.42,1,2196176657.08,1216963378.49,1140672402.93,0.0,0.0,76290975.56,76079992.61,0.0,979213278.59
2025-02,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2087334628.61,2,6082592855.16,6072409707.8,4756699325.76,40112636.28,0.0,1307580412.81,944802116.34,8129969.23,0.0
2025-02,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,13860795455.09,0,15114744596.81,15114681219.37,0.0,0.0,0.0,11240916.0,0.0,15103440303.37,0.0
2025-02,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,36730271.99,4,36863462.16,36863057.35,0.0,0.0,0.0,32557133.47,32557133.47,4305923.88,0.0
2025-02,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1951299954.66,1,2197586136.18,1218335179.56,1140672402.93,0.0,0.0,77662776.63,77434692.02,0.0,979213278.59
2025-03,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2186285117.08,2,7300220672.4,7299747580.84,5688945189.05,44668388.1,0.0,1329096464.59,955934024.63,281705927.2,0.0
2025-03,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,14175864271.34,1,15400007704.75,15399997493.98,0.0,0.0,0.0,11240916.0,0.0,15388756577.98,0.0
2025-03,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,37516034.41,3,37661898.54,37661493.73,0.0,0.0,0.0,33301730.22,33301730.22,4359763.51,0.0
2025-03,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1952527078.11,1,2232757242.58,2232757242.58,2153731862.93,0.0,0.0,79025379.65,78778629.95,0.0,0.0
