cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
33923798000100,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,RJ,ATIVA,3763012400.0,Bancos comerciais,minha_receita
33884941000194,BANCO MASTER MULTIPLO S.A.,SP,ATIVA,1167479400.0,"Bancos múltiplos, com carteira comercial",minha_receita
09526594000143,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,121203390.0,"Bancos múltiplos, sem carteira comercial",minha_receita
58497702000102,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,323188380.0,"Bancos múltiplos, com carteira comercial",minha_receita
07875796000175,VIKING PARTICIPACOES LTDA,MG,ATIVA,100000000.0,Holdings de instituições não-financeiras,minha_receita
56823324000184,STERN FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,,,,,minha_receita_qsa
23862762000100,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",SP,ATIVA,370000000.0,"Sociedades de crédito, financiamento e investimento - financeiras",minha_receita
51213651000109,WILL BANK HOLDING FINANCEIRA LTDA,SP,ATIVA,1000.0,Holdings de instituições não-financeiras,minha_receita
22415738000152,ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",RJ,ATIVA,,Corretoras de títulos e valores mobiliários,cvm_papel
18167777000100,ACURA GESTORA DE RECURSOS LTDA,,,,,cvm_papel
27590992000100,ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
37569593000111,MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
24515907000151,CARMEL GESTORA DE ATIVOS LTDA,,,,,cvm_papel
37178959000121,MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,,,,,cvm_papel
31963292000191,TALLÍNN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,,,,,cvm_papel
40698790000145,BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,,,,,cvm_papel
41576095000173,MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
41709776000162,MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
45563675000187,K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
50543106000100,MENESTYS GESTORA DE RECURSOS LTDA,,,,,cvm_papel
02727085000130,MÁXIMA  FMP - FGTS  PETROBRAS,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
03919474000120,BANESTES  FMP - FGTS  PETROBRAS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
04894428000186,BANESTES FMP-FGTS VALE DO RIO DOCE,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,,,,,cvm_papel
51569573000171,GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
09121454000195,TERCON INVESTIMENTOS LTDA,,,,,cvm_papel
41572679000170,TIDAS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
19207159000100,PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA,,,,,cvm_papel
46268930000121,FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
18223260000191,CATÁLISE INVESTIMENTOS LTDA.,,,,,cvm_papel
44668849000103,BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
06238550000120,MONETIZA INVESTIMENTOS LTDA.,,,,,cvm_papel
42639133000152,ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
40319398000148,BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
39248102000166,BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,,,,,cvm_papel
35506825000167,PROFIT MAPS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
35940506000165,PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
28264093000180,SMART AGRO INVESTIMENTOS LTDA.,,,,,cvm_papel
34849800000101,PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
30142469000126,META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
28880602000108,E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
27531264000128,DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
09463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA.",,,,,cvm_papel
61820817000109,BANCO PAULISTA S.A.,,,,,cvm_papel
26686967000162,RAYDAN INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32764855000185,LIBERTAS ASSET S/A,,,,,cvm_papel
52114474000168,CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
51566307000195,GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
51374900000130,RECEBA SEGURO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
50167484000136,IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
49088419000136,INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
03403181000195,INFINITY ASSET MANAGEMENT ADMINISTRAÇÃO DE RECURSOS LTDA,,,,,cvm_papel
49225426000132,B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
01460572000116,FDO INV IMOB PIT STOCK,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02739110000103,FDO INV IMOB TIME CENTER,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14788476000143,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ESMERALDA,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
16685929000131,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
47917164000141,BLUEMAC ASSET MANAGEMENT LTDA,,,,,cvm_papel
15383998000128,MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
03566273000196,MÁXIMA ASSET MANAGEMENT LTDA,,,,,cvm_papel
15388976000150,MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15388352000133,MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15381923000108,MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
