id,fundo_cnpj,papel,prestador_cnpj,prestador_nome
1,22415738000152,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
2,22415738000152,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
3,22415738000152,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
4,22415738000152,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
5,27590992000100,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
6,27590992000100,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
7,27590992000100,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
8,27590992000100,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
9,37569593000111,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
10,37569593000111,gestor,24515907000151,CARMEL GESTORA DE ATIVOS LTDA
11,37569593000111,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
12,37569593000111,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
13,37178959000121,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
14,37178959000121,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
15,37178959000121,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
16,37178959000121,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
17,31963292000191,admin,67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
18,31963292000191,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
19,31963292000191,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
20,31963292000191,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
21,40698790000145,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
22,40698790000145,gestor,42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA
23,40698790000145,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
24,40698790000145,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
25,41576095000173,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
26,41576095000173,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
27,41576095000173,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
28,41576095000173,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
29,41709776000162,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
30,41709776000162,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
31,41709776000162,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
32,41709776000162,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
33,45563675000187,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
34,45563675000187,gestor,50543106000100,MENESTYS GESTORA DE RECURSOS LTDA
35,45563675000187,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
36,45563675000187,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
37,02727085000130,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
38,02727085000130,gestor,18167777000100,ACURA GESTORA DE RECURSOS LTDA
39,02727085000130,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
40,03919474000120,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
41,04894428000186,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
42,31368739000184,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
43,31368739000184,gestor,36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.
44,31368739000184,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
45,31368739000184,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
46,51569573000171,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
47,51569573000171,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
48,51569573000171,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
49,51569573000171,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
50,41572679000170,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
51,41572679000170,gestor,19207159000100,PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA
52,41572679000170,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
53,46268930000121,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
54,46268930000121,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
55,46268930000121,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
56,44668849000103,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
57,44668849000103,gestor,06238550000120,MONETIZA INVESTIMENTOS LTDA.
58,44668849000103,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
59,42639133000152,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
60,42639133000152,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
61,42639133000152,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
62,40319398000148,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
63,40319398000148,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
64,40319398000148,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
65,39248102000166,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
66,39248102000166,gestor,21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA
67,39248102000166,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
