id,empresa_cnpj,socio_pessoa_id,socio_empresa_cnpj,qualificacao,data_entrada,fonte
1,33923798000100,1,,Diretor,2023-02-13,minha_receita
2,33923798000100,2,,Diretor,2017-07-07,minha_receita
3,33923798000100,3,,Diretor,2023-02-13,minha_receita
4,33923798000100,4,,Presidente,2017-12-01,minha_receita
5,33923798000100,5,,Diretor,2021-11-23,minha_receita
6,33923798000100,6,,Diretor,2018-01-04,minha_receita
7,33884941000194,1,,Diretor,2023-10-27,minha_receita
8,33884941000194,2,,Diretor,2023-10-27,minha_receita
9,33884941000194,6,,Presidente,2023-10-27,minha_receita
10,33884941000194,7,,Conselheiro de Administração,2015-10-21,minha_receita
11,09526594000143,2,,Diretor,2022-10-19,minha_receita
12,09526594000143,4,,Presidente,2025-08-12,minha_receita
13,09526594000143,6,,Diretor,2022-10-19,minha_receita
14,58497702000102,8,,Presidente,2024-11-01,minha_receita
15,58497702000102,9,,Diretor,2024-11-01,minha_receita
16,58497702000102,10,,Diretor,2024-11-01,minha_receita
17,58497702000102,11,,Diretor,2024-09-20,minha_receita
18,07875796000175,12,,Administrador,2025-09-29,minha_receita
19,07875796000175,4,,Sócio,2006-02-15,minha_receita
20,07875796000175,0,56823324000184,Sócio,2025-09-29,minha_receita
21,23862762000100,13,,Diretor,2021-09-08,minha_receita
22,23862762000100,14,,Diretor,2021-09-08,minha_receita
23,51213651000109,15,,Sócio-Administrador,2023-09-19,minha_receita
24,51213651000109,16,,Sócio-Administrador,2023-09-19,minha_receita
25,51213651000109,17,,Sócio,2023-09-19,minha_receita
46,33886862000112,2,,Diretor,2017-07-07,minha_receita
47,33886862000112,18,,Diretor,2022-07-08,minha_receita
48,33886862000112,6,,Diretor,2017-12-27,minha_receita
49,33886862000112,9,,Diretor,2023-02-16,minha_receita
50,33886862000112,19,,Diretor,2021-01-10,minha_receita
