cnpj,fundo,tipo,situacao,cnpj_admin,administrador,cnpj_gestor,gestor,admin_informe_fidc
27590992000100,ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18167777000100,ACURA GESTORA DE RECURSOS LTDA,
22415738000152,ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18167777000100,ACURA GESTORA DE RECURSOS LTDA,
32203088000135,JAGUAR FIP MULTIESTRATÉGIA,FIP,Em Funcionamento Normal,67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2622448000172,BLUE SOLUTIONS ASSET MANAGEMENT LTDA.,
16685929000131,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,FII,Em Funcionamento Normal,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",47917164000141,BLUEMAC ASSET MANAGEMENT LTDA,
27531264000128,DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA.",
37569593000111,MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,FIDC,Em Funcionamento Normal,806535000154,PLANNER CORRETORA DE VALORES S.A.,24515907000151,CARMEL GESTORA DE ATIVOS LTDA,PLANNER CORRETORA DE VALORES S.A.
37569593000111,MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",24515907000151,CARMEL GESTORA DE ATIVOS LTDA,PLANNER CORRETORA DE VALORES S.A.
35506825000167,PROFIT MAPS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
40319398000148,BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
51374900000130,RECEBA SEGURO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Fase Pré-Operacional,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
28880602000108,E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
42639133000152,ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
46268930000121,FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Em Liquidação,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
46745079000180,FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",18223260000191,CATÁLISE INVESTIMENTOS LTDA.,
53311600000137,TERMOPILAS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIP,Em Funcionamento Normal,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,FIDC,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,FIDC,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.
40698790000145,BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Em Funcionamento Normal,13486793000142,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,47326127000169,FIGTREE CAPITAL ADMINISTRAÇÃO DE RECURSOS LTDA.,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
32287737000123,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",16925467000182,GLOBAL GESTÃO E INVESTIMENTOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
32287774000131,MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",16925467000182,GLOBAL GESTÃO E INVESTIMENTOS LTDA,
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,62264924000152,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
39248102000166,BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,
49088419000136,INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3403181000195,INFINITY ASSET MANAGEMENT ADMINISTRAÇÃO DE RECURSOS LTDA,
16685929000131,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,FIP,Cancelado,59281253000123,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,20445967000194,LEGATUS CAPITAL GESTORA DE RECURSOS LTDA,
26686967000162,RAYDAN INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",32764855000185,LIBERTAS ASSET S/A,
31963292000191,TALLÍNN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,FI,Cancelado,67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,
41576095000173,MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,
37178959000121,MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,
