fundo_cnpj,fundo_nome,data,vl_carteira,vl_industrial,vl_imobiliario,vl_comercial,vl_servicos,vl_agronegocio,vl_financeiro,vl_credito,vl_factoring,vl_setor_publico,vl_judicial
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,35610785.37,0.0,0.0,0.0,0.0,0.0,35610785.37,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,35813897.7,0.0,0.0,0.0,0.0,0.0,35813897.7,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,36063851.69,0.0,0.0,0.0,0.0,0.0,36063851.69,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,36342188.17,0.0,0.0,0.0,0.0,0.0,36342188.17,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,2055372193.47,0.0,0.0,0.0,0.0,0.0,1042312733.47,0.0,0.0,1013059460.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,1042630535.56,0.0,0.0,0.0,0.0,0.0,1042630535.56,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,1043561071.35,0.0,0.0,0.0,0.0,0.0,1043561071.35,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,978401838.5,0.0,0.0,0.0,0.0,0.0,978401838.5,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,5375727089.59,0.0,0.0,0.0,0.0,0.0,4188774921.16,0.0,0.0,1129162595.35,57789573.08
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,3728544174.81,0.0,0.0,0.0,0.0,0.0,3670754601.73,0.0,0.0,0.0,57789573.08
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-12-31,3660360531.88,0.0,0.0,0.0,0.0,0.0,3602570958.8,0.0,0.0,0.0,57789573.08
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-01-31,3668569280.33,0.0,0.0,0.0,0.0,0.0,3610779707.25,0.0,0.0,0.0,57789573.08
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-02-28,6055649013.84,0.0,0.0,0.0,0.0,0.0,5894769001.4,0.0,0.0,0.0,160880012.44
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-03-31,6069228912.46,0.0,0.0,0.0,0.0,0.0,5907579240.58,0.0,0.0,0.0,161649671.88
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
