fundo_cnpj,fundo_nome,data,vl_passivo,vl_a_pagar,vl_curto_prazo,vl_longo_prazo
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,192330.22,192330.22,11493.64,180836.58
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,213538.94,213538.94,32702.36,180836.58
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,219547.66,219547.66,38711.08,180836.58
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,225556.38,225556.38,44719.8,180836.58
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,278923016.68,278923016.68,278923016.68,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,177556318.02,177556318.02,177556318.02,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,177617869.98,177617869.98,177617869.98,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,177734674.88,177734674.88,46593.43,177688081.45
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,4282547583.91,4282547583.91,4282547583.91,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,1793599090.66,1793599090.66,1793599090.66,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-12-31,3080938703.9,3080938703.9,32771.06,3080905932.84
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-01-31,3081586653.53,3081586653.53,11033639.55,3070553013.98
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-02-28,4907752934.37,4907752934.37,241686.46,4907511247.91
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-03-31,4907990734.63,4907990734.63,446715.66,4907544018.97
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-10-31,615832480.78,615832480.78,615832480.78,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-11-30,603087172.67,603087172.67,603087172.67,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-12-31,1203097029.41,1203097029.41,400.0,1203096629.41
