fundo_cnpj,fundo_nome,data,nr_cotst_senior_pf,nr_cotst_senior_pj_nao_financ,nr_cotst_senior_banco,nr_cotst_senior_corretora,nr_cotst_subord_pf,nr_cotst_subord_pj_nao_financ,nr_cotst_subord_banco
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,0,0,0,0,0,0,0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,0,0,0,0,0,0,0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,0,0,0,0,0,0,0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,0,0,0,0,0,0,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,0,0,0,0,0,0,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,0,0,0,0,0,0,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,0,0,0,0,0,0,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-12-31,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-01-31,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-02-28,0,0,0,0,0,0,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-03-31,0,0,0,0,0,0,0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-10-31,0,0,0,0,0,0,0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-11-30,0,0,0,0,0,0,0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-12-31,0,0,0,0,0,0,0
