fundo_cnpj,fundo_nome,data,classe_serie,nr_cotst
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,Subclasse Subordinada Subordinada 1 |,3
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,Subclasse Sênior,0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,Subclasse Subordinada Subordinada 1 |,3
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,Subclasse Sênior,0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,Subclasse Sênior Subclasse 1,3
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,Subclasse Sênior Subclasse 1,3
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,Subclasse Subordinada Subordinada 1 |,1
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,Subclasse Sênior,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Subordinada Subordinada 1 |,1
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 1,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 10,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 11,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 12,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 2,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 3,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 4,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 5,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 6,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 7,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 8,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,Subclasse Sênior Série 9,0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,Subclasse Sênior Subclasse 1,1
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,Subclasse Sênior,1
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,Subclasse Subordinada Subordinada 1 |,2
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,Subclasse Sênior,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Subordinada Subordinada 1 |,2
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 1,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 10,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 11,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 12,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 2,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 3,0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,Subclasse Sênior Série 4,0
