fundo_cnpj,fundo_nome,data,vl_risco_aa,vl_risco_a,vl_risco_b,vl_risco_c,vl_risco_d,vl_risco_e,vl_risco_f,vl_risco_g,vl_risco_h
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2026-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,2026-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
