data,evento,valor_brl,fonte
2020-03-11,Cessão do Excalibur FIM CP → Gold Style: 18.167.136 ações preferenciais BESC,,DF id863753 nota 4 / id741894
2020-10-16,AGC aprova transferência da administração para Reag DTVM (CNPJ 34.829.992/0001-86 = CBSF),,DF id863753 nota 1
2020-10-16,"Laudo HORBIA precifica ativo a R$ 758,69/ação = R$ 13.783.240 mil",13783240000,DF id863753 base abstenção
2021-03-31,"Saldo direitos creditórios = R$ 1.362.535 mil (100,03% PL) — 10% do laudo",1362535000,DF id741894 balanço
2022-03-31,"Saldo direitos creditórios mantido R$ 1.362.535 mil (100,05% PL)",1362535000,DF id863753 balanço
2023-06-29,PwC emite parecer com ABSTENÇÃO DE OPINIÃO sobre DF 2021 (sem evidência de existência/titularidade),,DF id741894 parecer
2024-09-02,Mudança de administrador: Reag DTVM → Reag Jus Gestão de Ativos Judiciais Ltda. (46.356.742/0001-55),,DF id863753 cabeçalho notas
2025-01-10,Fato Relevante: REPRECIFICAÇÃO RELEVANTE das Cártulas/BESC justificada por 'diversos negócios em 2024',,FR id816884
2025-03-14,Baker Tilly 4Partners emite parecer com ABSTENÇÃO DE OPINIÃO sobre DF 2022 (mesma justificativa do PwC),,DF id863753 parecer
2025-03-24,DF de exercício 31/03/2022 entregue ao FNET — atraso de quase 3 anos,,FNET metadado id863753
2026-01,Reag DTVM liquidada extrajudicialmente pelo Banco Central,,matéria Imirante / fato público
2026-05-19,"Informe Trimestral 1T2026: todas as respostas 'Dada a liquidação, não foi realizada' — fundo paralisado",,FNET id1199246
