afirmacao_materia,valor_citado,status,valor_reconstruido,fonte
Existência do FIDC Gold Style,—,CONFIRMADO,CNPJ 34.081.900/0001-22 — confirmado,FNET + DF
Administrador = Reag,—,CONFIRMADO,Reag DTVM (34.829.992/0001-86 = CBSF ex-Reag Trust) até 02/09/2024; depois Reag Jus,DF id863753
Ativos do fundo,~R$ 2 bi,COMPATIVEL,"R$ 1,362 bi em 31/03/2022 (DF). Matéria fala em R$ 2 bi (data não especificada). Compatível com crescimento ou recompra.",DF id863753
R$ 1 bi de empresas do PCC,R$ 1 bi,NAO RECONSTRUIVEL,Não reconstruível via DF — fluxo COAF de 2023-2025 fora do escopo da DF de exercício 31/03/2022,—
Aster Petróleo cedeu/transferiu,"R$ 759,5 mi",NAO RECONSTRUIVEL,Não aparece como cedente ou contraparte na DF; provável fluxo financeiro pós-31/03/2022,—
BK Bank cedeu/transferiu,R$ 158 mi,NAO RECONSTRUIVEL,Não aparece como cedente ou contraparte na DF,—
Inovanti cedeu/transferiu,R$ 175 mi,NAO RECONSTRUIVEL,Não aparece como cedente ou contraparte na DF,—
Repasse para Super Empreendimentos,R$ 180 mi,NAO RECONSTRUIVEL,Não aparece como contraparte na DF; provável fluxo posterior a 31/03/2022,—
Reag liquidada pelo BC,janeiro/2026,CONFIRMADO,Confirmado por trimestral 1T2026 que reporta 'dada a liquidação' em todos os campos,FNET id1199246
Reag investigada em Compliance Zero (Master) e Carbono Oculto (PCC),—,CONFIRMADO,Fato público; consistente com mudança de admin para Reag Jus (subsidiária) em 02/09/2024 — uma semana antes da 1ª fase Carbono Oculto,DF id863753
Vorcaro preso em 04/03/2026,—,FATO PUBLICO,Fato público — fora do escopo da DF,—
