data,cedente,devedor_emissor,instrumento,valor_brl,doc_fonte
2024-02-27,Banco Master S.A.,Lormont Participações S.A.,CCB,102438000,DF id963178
2024-12-19,Banco Master S.A.,(não identificado),Dir. Cred.,192941000,DF id963178
2024-12-19,Banco Master S.A.,(não identificado),Dir. Cred.,936222000,DF id963178
2024-09-27,Carriet Inventory FIDC-NP,Lormont Participações S.A.,CCB,325452000,DF id963178
2024-12-31,B-ROL FIDC-NP,Lormont Participações S.A.,CCB,41417000,DF id963178
2024-12-31,CIB-K FIDC-NP,Lormont Participações S.A.,CCB,40572000,DF id963178
2024-12-31,Del Rey FIDC-NP,Lormont Participações S.A.,CCB,43107000,DF id963178
2024-12-31,Runeard FIDC-NP,Lormont Participações S.A.,CCB,43953000,DF id963178
2023-03-06,Super Empreend. e Part. S.A.,Super Empreend. e Part. S.A.,Dir. Cred.,22012000,DF id963178
2023-11-22,Banvox Holding Financeira S.A.,Banvox Holding Financeira S.A.,Debênture,380346000,DF id963178
